# Ex(MEv) S_alpha = 10.61 S_n = 11.09,J
3.588,0+ 
6.256,0+
10.159,0+ 
10.573,1-
# ------------------------------------------------------------alpha threshold 10.61,
10.824,2+
10.949,1-
11.183,1-
11.285,1-
11.31,1-
11.326,1-
11.328,1-
11.336,1-
11.361,2+
11.5,1-
11.526,3-
11.587,2-
12.345,0+
,
# For calculation: 3.588 6.256 10.159 10.573 10.824 11.183 11.336 11.500 12.345,
