# beamEnergyAtTarget_MeV,tritonTargetExitEnergy_MeV,tritonTargetExitTheta_deg,tritonTargetExitPhi_deg
63.511400817363111,1.2509186503209011,158.00576954501321,-177.00562701203268
64.949373823956549,1.3632181047109138,159.49110320261394,95.664173601932859
63.433924237592556,1.2341152585416424,158.4994889099228,37.661396255763606
64.599207063200069,1.3703217445541782,155.81531883329959,-58.734368242540278
65.495798776001692,1.4147499077292662,158.53581542016201,141.4820715936134
62.543550900010089,1.1573687067159002,159.86763762373508,-162.75235301473958
64.873261334419695,1.375787821211397,157.03594240803861,-119.13914151598577
64.243854364038569,1.3273362191675264,157.53183037331416,-12.36427695141666
63.558570329663837,1.2702785027948773,156.8354085381211,83.19414396348219
62.8397403450006,1.2027797117239363,155.74525164625706,-17.348199477476143
64.104136503743106,1.2955760295578767,159.43833148615246,7.3849460235406843
65.620383335850292,1.4202779975959723,159.06646006762065,-33.848318079482588
63.763746215833926,1.2694382303114078,158.30859005746248,165.37180990138791
64.365128182493336,1.3351978921524648,157.57805936114769,111.92786378872086
63.137055060152221,1.2072175735266637,160.39186980888019,8.3144041468666927
65.774440173656643,1.4216937649105659,159.58285674140228,-19.094379137181306
62.966805921423997,1.2041212366348326,157.17756771668579,95.416048592324117
65.314252045242597,1.4011924362686905,157.71042347354208,4.2435138053473365
64.50213579534902,1.306159441538526,159.03694871521731,76.125045501824246
65.275663918073178,1.394306967135738,159.0535265730976,137.62208729757418
63.721722987935685,1.2641716372640519,159.37944507564174,-179.87850099306883
65.341227382480298,1.4001158899107133,158.16938520270406,-155.88402028906873
65.862858806273806,1.4246461830068331,160.2898855599166,-44.052578915471187
63.999560400466791,1.3010516945046904,158.81796150241661,-85.821230986608143
63.950219033867569,1.2868048678833126,158.78287946362954,-171.45000165019638
64.126788415650537,1.2924309945117107,159.35788996839781,-85.58907834956382
64.913530790915488,1.3853534369296003,157.28717162539331,-1.7892677637053798
63.049070356519785,1.1999825856073916,158.88001330071799,15.003074114457085
62.588990907431452,1.1796659776947434,157.28267539361428,44.646104478460323
64.313239121459532,1.297133205749035,159.61308696975306,128.88987408888551
65.385438942090744,1.3875146673104122,159.97455156297414,92.713227677454185
65.457985246849702,1.4256555828119477,157.41645722741166,156.63693697087999
65.722787942653085,1.4234130916805021,159.39697606068984,-4.0190579581075934
65.529001104585035,1.4401312855872144,157.06761375306542,86.845015764851667
63.055392331182901,1.1927426101941276,159.52788611113024,-174.19087513626488
65.43619385200941,1.4102366743696979,157.741927616482,145.71507274298344
63.521991107451839,1.2701524504283985,157.5099023959549,-66.347075857794437
63.877243571915862,1.2845441109376823,158.38333157879711,-73.884174007931833
64.103055186855315,1.305369195849488,157.4732155601485,-58.566576151766469
65.732011371193011,1.4215490735305907,159.53027591313867,28.891105719066999
62.379476371682053,1.1205900347422666,159.21599760994647,-120.12998103156113
64.209905273874483,1.3145314669265982,158.61220904878957,175.26235619876599
63.719546358717736,1.2424301694630753,160.74322815467406,-56.70753567382328
65.18889465695122,1.3826922165699216,159.12068088572241,-171.30574265044947
65.861484993153667,1.4240708694891102,160.08747558273541,89.174489098024168
63.406491972003572,1.2366977475531089,158.45393165507002,-20.329657466716224
64.512125640616816,1.3195300857990764,159.10544043623921,-179.38630544094036
65.851669987310245,1.4252506493018584,159.60704172612836,-110.20783135558332
65.237384130695844,1.3764492580295506,159.68545178709414,-54.520543002052058
64.026484563563642,1.3087748274794198,158.37721809516694,-12.33262159977059
65.48147248601758,1.3951834294753191,160.18820991960541,34.852239600591183
63.576577264949165,1.2348951256490388,158.65748454375063,132.56767312910654
65.348224932376866,1.4189283313747687,157.38173145949125,-178.74478024210313
62.652323540616287,1.176809142970777,158.11606578431099,59.60848108225391
62.708364648420229,1.163911183890072,157.48855567150233,69.025750879021203
62.721288752298221,1.1806198778116104,158.89518623173936,66.433553729537095
62.729074020667049,1.1699829261237893,159.3317605303574,71.036289645113783
62.729394483149932,1.1592832332378202,159.97273612481808,-161.62429385024981
63.030352288344552,1.1944294005951734,158.74406797448924,133.07380698919459
62.457547602328859,1.1726811730019049,157.77193524058006,50.183964590059368
64.74485363802674,1.3432086185701833,159.94482885732643,-172.52342605526511
62.855109627806492,1.1738369616874738,159.24628730579633,-106.13291532088586
62.847303206171546,1.1950679673412312,155.40284007207751,-46.156088005096272
62.36764190779256,1.1221367534365521,160.15364513740064,-86.411983904923034
62.837615560646377,1.1786519977229144,160.12642184881591,-163.34910715993857
62.849715040435541,1.1869734420833167,158.37379078633754,134.66215427429199
64.930130315943842,1.3586100493156394,158.85436363669047,-107.82802906760669
62.385489088774442,1.1434796613726088,159.56386998103574,-150.60878276629836
63.618731188535179,1.2650101233704176,156.95666124798092,54.040979450280105
63.045806863822122,1.1936433598133671,157.49924886951635,-83.000269454885711
63.287027901327214,1.2200195133928657,158.47038241136784,179.67951538121423
64.640868101474268,1.3674778560480068,157.2341117268206,83.17251457203929
62.412616270260983,1.1485278008070425,159.53686623491603,-171.7198177995231
63.939834743321491,1.2788321779471723,159.53703482873979,-99.945567662007036
64.292362842763666,1.3182223177892165,159.22665552299193,-157.85128174494352
63.376613037582466,1.241293527017981,158.17257828379664,30.72287103163622
64.588151498712506,1.3081612104267657,159.93057438423233,-143.82245240861337
65.670044022978715,1.4135341682040967,159.5157200601835,73.970262880204501
65.549799962037156,1.4103334730070458,159.89259257223711,173.01609611832947
65.368621476955695,1.4203745546200304,157.43040998402736,-33.453156000442455
63.654473687281673,1.2703321006360184,157.71861154646467,-114.63017773048887
65.509609806719681,1.4061811179893065,159.25145434433929,4.5333339657525507
63.588072046879184,1.2295766740575125,159.93775601127032,-61.777429327068241
63.639036489367811,1.2539820070624299,159.17131395251673,-7.5444557316076724
63.511670364055362,1.2693440101066487,157.66734399361337,-35.082518569435088
65.697005063035974,1.4298647348770179,158.31097691152581,141.78140125917628
63.588709530494043,1.2701758228993421,157.84566871861867,104.16371665844814
64.772837289761682,1.3545465075479086,158.01268164837157,-101.61863333950571
64.746755962341894,1.3597780516703508,157.69589387991292,67.888413837905532
62.789601432479422,1.1973859865912166,157.72211044482557,86.060160605697121
65.502509733420553,1.4323849978690546,156.99498541027839,32.701766752505847
63.393448597709437,1.2418413216634767,157.00692101989225,-138.15957914115592
65.826490004778066,1.4211291728203366,159.91612513531226,-42.376239012822303
63.354419582064949,1.2327425702300809,158.19492851856504,-74.926514908243661
65.99167740677872,1.4695687347104796,157.33894633918229,151.20382643527961
64.018989602649143,1.273551766388259,160.11367536079442,14.495314900952442
63.18582937482612,1.2263618370728993,157.36708391471811,141.3474718762632
65.028194848816639,1.3790192646045396,158.17491690738049,114.30674631875759
63.983860167198308,1.2927744532005601,158.03871192914474,-107.23447638438206
64.966558704412449,1.3676911369796396,158.95322599052545,19.374909176435633
64.103736969728118,1.3110560372937639,156.48408072523696,111.81780012180374
65.395215741543225,1.4225375431729192,157.33211707888753,-155.7312901717996
65.168187763166586,1.376850449663396,159.74120035073676,-67.516333782801425
63.002457454622622,1.2006617729967966,158.00989569930718,66.56504514457211
62.986012595972475,1.2090211645679976,158.83052489534882,-31.994116097289471
62.940414465892495,1.179610018749669,159.07378749739877,-50.522927477330235
63.832788843972381,1.2499931366070591,159.00878956839742,-129.22902217389102
65.47800211514604,1.4274375578514411,157.45801671126367,42.556695848680214
65.255429556754905,1.3826876830379522,158.7522653716012,-131.97019286608747
65.844111476687615,1.4190394731389908,160.07841330490103,-176.91844607329867
64.291726416071384,1.3163338398839282,157.99866412983806,96.426195171933415
65.258624830466317,1.3995514684656218,158.54869059533718,-92.861426868077231
66.023182311249329,1.4706113644158652,157.39873403119387,-114.51008434092383
65.635273044673553,1.4082112636708894,160.47434528163754,166.83292484659427
65.584426059165992,1.4280362546101069,158.25730640480114,9.178256692370983
63.030245498428819,1.2109304056378236,158.57796039262459,-2.1783178260354741
65.18462853140251,1.401152406605783,158.15995259833369,-13.016445816589655
64.115839930509281,1.2738143614784188,159.34136924428083,-156.90782090306021
65.542609812069998,1.4157973772309589,158.56430792978171,-158.0501502493286
65.785112313008625,1.4175170592845301,160.10031985580761,66.477998519970043
63.922696717915514,1.3075472964588608,157.69600291136638,22.326277428100276
63.031959807732392,1.1891523305482326,160.34079674531134,-118.51434161570852
63.286678772474971,1.2415936061787665,158.38808873434155,-74.080457188887735
64.519494196712273,1.3377504135512759,159.06404198370322,-127.63452655077755
62.92752325611707,1.1999729556549439,158.09519362285721,-158.34780379206109
64.985583185241396,1.3849471985372088,157.18045443291078,-82.677327076893263
62.869485652147702,1.2051387874595918,157.54422105138715,-22.386617573530494
64.492341995186763,1.3226810760768604,158.51095115241614,53.776556156187773
62.55922969964265,1.1262590360624221,160.67259723408935,122.33475514199071
63.116945154120231,1.1998544478419948,155.85128243924621,-115.68875049563776
63.400198087552532,1.251468349162004,157.15693142626927,17.650884525665358
64.934470333158202,1.3874032637652467,156.54712965305725,112.47382322735176
63.788070616462775,1.2685194600866569,158.01309124354935,27.667476486367274
62.618752373432834,1.169719995190204,157.67406493802912,176.94072280350323
65.938781730539958,1.4473194438740649,158.54653553705992,-47.376368155942437
63.781665976486821,1.2660748158294883,158.3699539258667,-130.59100456827895
64.131583089387306,1.2882933651089172,159.48734543126923,123.99666052833931
63.603374746961208,1.2487749605762084,159.49573924747048,-96.015866609399225
64.971202356317178,1.3515642250068545,160.02930316386897,-31.748963389015874
64.679184917844182,1.324055822376021,160.2088752906669,-76.038219769885941
64.344449852962569,1.3162684486455536,158.1153248119106,-14.237715427112528
63.602953024823222,1.2298436691920436,160.40420941187301,86.521583978161814
63.31697057088666,1.2458050783863819,158.37786744624373,-135.9994087503882
62.688286268195057,1.1675781028906398,157.78332478715097,-179.80874425858755
65.379611003573942,1.4087912290124318,158.16381577345604,64.501234986176968
64.297966863968725,1.2832006489474719,160.17321318420426,49.316069259508659
65.940802907478727,1.4379030918834512,159.61403118150122,-139.57406974561542
65.764248664432287,1.4385659232381545,157.94018078170984,-140.85156916002319
62.726133555783051,1.1592247122224395,159.75390683343963,-152.57462581069609
63.70102767814015,1.271912101753697,156.98386092191188,-155.82972620016949
65.753363366019542,1.4175407047183779,160.09566062152729,129.49802011462234
65.9136635112487,1.4470514779587202,158.66405062661224,-154.98403000016057
62.843850159271021,1.1724149515164319,158.77102067293242,-5.9623152912047344
62.478397338784774,1.1541291482610085,156.92284418952954,-94.685069581405273
65.068372477357983,1.3867503779472325,157.70241072372684,50.642965321668228
63.576579589357522,1.2447038291856207,159.14353488920688,-106.3911353101516
63.058269392404164,1.2117703845679997,156.17079393676082,166.50740618722662
64.407599205218858,1.3285315916271232,157.94816175558245,48.763489101003749
64.526723014847761,1.3274386908599787,159.71279271291988,78.051268315129064
64.417916242538794,1.323284528762658,159.86374723158951,-45.160342780987889
63.171189754094087,1.2371214253421428,157.83223477580086,96.169281417812172
63.415017603772775,1.2352161473924099,158.79016057653502,22.901351869429224
63.641854431118048,1.2511286417572678,158.92354312808499,-47.325920406773449
65.920313692459416,1.4567279022261985,158.27898196139694,-114.47375687428476
65.113555673663569,1.3900226031943708,157.88599246288274,171.45085986587947
65.571968839316156,1.437505751779228,156.8349069691711,-108.33219486273211
65.09550097178132,1.3863019697414405,158.48123253671062,117.29014427727942
62.992265319833081,1.1761055680742192,160.66591414318643,-167.31071196684783
63.396849768404685,1.2200788866484422,159.8037622627397,-147.08883837272197
63.273123659318344,1.2149192750181423,158.99387392077185,-127.91124732891424
64.539693288145514,1.3418953736346046,157.85773042729426,-155.98611244003538
62.424840553863802,1.1435116268939272,158.70983572512563,74.354323363366063
65.580581545119216,1.4361350292099295,157.22604446517545,22.379224803581891
65.16739079636919,1.3935690571970807,158.20720232277887,128.13213777226363
65.607103111410609,1.4311816281450105,158.18062589117216,-131.26568062661696
65.630707568215385,1.4141825885253794,159.53081045706091,132.25162412361615
65.676549935735238,1.4273703154294284,158.11116312942397,-62.875457538059848
64.409888239279979,1.3322482962476152,157.5928993678217,-24.845148300632111
62.841193035593953,1.1967360750503633,158.33369000958578,105.08117594683731
64.995042448876504,1.3696440854991807,158.96829947999271,70.455357380464477
62.803111280639556,1.1657325736760091,159.1918868023148,137.35899502181536
65.323210382405449,1.4031178558446604,159.04960431101591,-39.348106251887771
65.226687946376657,1.4067232502359641,157.27413238721769,63.863580152972091
63.636642724942419,1.2556714734279248,158.66968569900729,-67.720507061684302
65.234624700330045,1.4043770422034181,157.60783685847878,109.52357706176716
63.841400082162764,1.2551139325261498,159.14828783591506,72.381275632122978
64.616897830350027,1.349622581615012,158.00887501729451,137.01079837049713
64.489036426643509,1.3428180185605101,157.70501057330148,-161.3819566054992
64.060241242264695,1.2768996938488599,158.9912610609355,-136.85500545664061
63.281566589272749,1.2314342035077945,158.71649579013481,58.642309717910905
62.303753814578229,1.1585588651125993,157.48909395965873,34.330070608950834
65.409977802822269,1.3905358123580995,159.86517891046671,122.57377490916363
62.923650581317645,1.2012681999169219,157.05279748916902,-144.14278718396417
63.548369307249793,1.2469107106469381,159.10035900044772,-143.07560322574736
63.514151090320006,1.2423459567592079,158.49897007596061,27.918744837530092
65.982235285020593,1.4550475776225329,158.30921241075677,-72.091695874557473
65.13300005801382,1.4061006638709661,157.26442726252941,-126.20800927641602
63.625020410993294,1.2735414168839072,157.48168677781808,166.18427424275507
63.571769498131758,1.2705354011624652,156.07609708254662,-1.510643417351347
65.640779405024404,1.4180416707907575,159.15995371630632,-36.265304842120429
63.068480523565661,1.2155848822811353,159.4284929201028,99.881122586206587
64.541502467981829,1.3397166636191173,157.42070881036616,129.88905760774315
65.441590611876336,1.3865664552722914,159.88997622984854,165.99225854563721
63.327576113868638,1.2581656418707179,157.58704839767086,108.69560532493817
65.620215137897986,1.4318560006837397,157.51225142043506,-139.38542799248992
