# beamEnergyAtTarget_MeV,tritonTargetExitEnergy_MeV,tritonTargetExitTheta_deg,tritonTargetExitPhi_deg,s3EnergyLoss_MeV,tritonThetaBeforeS3_deg,tritonPhiBeforeS3_deg,tritonEnergyAtReactionPoint_MeV,tritonThetaAtReactionPoint_deg,tritonPhiAtReactionPoint_deg,s3EnergySmeared_MeV,tritonTargetEnergyLoss_MeV
# ringGateCopyNo=-1 thetaMinDeg=130 thetaMaxDeg=133
64.949373823956549,1.8375203650255871,132.32654980699414,9.0728147394052261,1.8375203650255869,132.32654980699411,9.0728147394052261,1.8959768992026511,132.43170900563209,9.4965932289144366,1.7422374265452096,0.058456534177063979
63.433924237592556,1.6765454946524403,132.02079071724185,-172.60510011873106,1.6765454946524403,132.02079071724182,-172.60510011873109,1.8238830888894881,131.99493556857149,-172.83981855152138,1.586162059164693,0.14733759423704784
63.558570329663837,1.7243971505943221,131.53337477670718,-26.790192484475082,1.7243971505943219,131.53337477670718,-26.790192484475085,1.8511441729692706,131.45742170739982,-27.259621764791351,1.6703008607211987,0.1267470223749485
62.8397403450006,1.6280807863569018,132.02131604823686,-64.083352761874778,1.628080786356902,132.02131604823686,-64.083352761874778,1.8036962628702895,131.72084647699921,-64.848361475472274,1.7478806911802052,0.17561547651338771
63.137055060152221,1.6941589930644456,131.60480109563423,60.8080799663338,1.6941589930644456,131.60480109563423,60.808079966333786,1.8451814997233669,131.49561620050343,60.340346128563496,1.7635082647195284,0.15102250665892125
65.275663918073178,1.8874493596746873,132.25931030111181,-93.708875847333132,1.8874493596746871,132.25931030111181,-93.708875847333132,1.9230052735756544,132.25797003269895,-93.795570031867442,1.8654580540254064,0.035555913900967129
65.341227382480298,1.9152437208351609,131.8814862982951,-19.629650504287749,1.9152437208351618,131.88148629829513,-19.629650504287753,1.946612645098412,131.81133742373078,-19.901221914232554,1.9715006993469721,0.031368924263251108
63.950219033867569,1.7702811348730887,131.78248679819282,122.12233621023813,1.7702811348730887,131.78248679819282,122.12233621023813,1.8796035061045586,131.57941079413894,122.4621878804135,1.779664983033594,0.10932237123146993
64.126788415650537,1.760238384077407,132.31529906316865,151.91008279146578,1.7602383840774063,132.31529906316865,151.91008279146578,1.8687195200773203,132.28122002258473,152.31885971935023,1.7637139635105494,0.10848113599991338
65.457985246849702,1.9257167869327898,131.66648080061083,149.88897723575585,1.9257167869327898,131.66648080061083,149.88897723575585,1.9569411067482179,131.70657705437225,149.64811036461296,1.9273606480924721,0.031224319815428059
